aes,wmo,id,name,instr,prov,lon,lat,elev,tz_correct,h_bul,s_bul,hly,syn,tmm,ua,useindex,agency,the_geom
3015523,71928,CWRM,                               ROCKY+MTN+HOUSE+AUT,   AU8,AB,-114.917,52.417,988,-7,swobml/cwrm,smcn08/cwao,H,H,@,-,928,MSC   ,01010000208A0F000073AE2A94AD1934C10B7B5ACCF1DF2141
3015600,71202,CPRL,                                     ROSALIND+AGCM,   AU7,AB,-112.417,52.8,712,-7,swobml/cprl,smcn22/cwao,H,H,-,-,202,MSC   ,01010000208A0F000094EBB951C37831C188FDF7A1AEA02141
3015673,71548,CPSL,                                     ST.+LINA+AGCM,   AU7,AB,-111.45,54.283,619,-7,swobml/cpsl,smcn25/cwao,H,H,-,-,548,MSC   ,01010000208A0F0000D15F666686C72FC1CB002C2722E82541
3015676,71275,CXSP,                                     ST.+PAUL+AGCM,   AU7,AB,-111.267,54.017,649,-7,swobml/cxsp,smcn32/cwao,H,H,@,-,275,MSC   ,01010000208A0F0000FFBF7BE28BA82FC1080914D5D1F42441
3015797,71399,CPSA,                                      SEDALIA+AGCM,   AU7,AB,-110.75,51.583,755,-7,swobml/cpsa,smcn33/cwao,H,H,-,-,399,MSC   ,01010000208A0F0000FB4916F4235630C132E3E4B8E1951941
3015900,71405,CPSH,                                       SHONTS+AGCM,   AU7,AB,-112.533,53.333,679,-7,swobml/cpsh,smcn24/cwao,H,H,@,-,405,MSC   ,01010000208A0F00002756C3039A5731C1281CE890D2682341
3016022,71274,CXSL,                                   SMOKY+LAKE+AGDM,   AU7,AB,-112.5,54.283,680,-7,swobml/cxsl,smcn32/cwao,H,H,@,-,274,MSC   ,01010000208A0F0000612CA8BD06E130C17F48350A9E722641
3016070,71413,CPSP,                                      SPONDIN+AGCM,   AU7,AB,-111.683,51.817,804,-7,swobml/cpsp,smcn24/cwao,H,H,-,-,413,MSC   ,01010000208A0F00000FBBA105392E31C1BF17D16B7E171C41
3016124,71289,CXAK,                                     STETTLER+AGDM,   AU7,AB,-112.6,52.35,795,-7,swobml/cxak,smcn32/cwao,H,H,@,-,289,MSC   ,01010000208A0F000031F1517256DB31C1298664E5DA462041
3016441,71504,CPTH,                                      THORSBY+AGCM,   AU7,AB,-113.9,53.217,754,-7,swobml/cpth,smcn25/cwao,H,H,-,-,504,MSC   ,01010000208A0F00004EC0195E6FB632C1FC423884D5CF2341
3016505,71566,CNTK,                                     TOMAHAWK+AGDM,   AU7,AB,-114.717,53.433,814,-7,swobml/cntk,smcn35/cwao,H,H,@,-,566,MSC   ,01010000208A0F0000225A64DCC06233C1766AD0C7BBFD2441
3016593,71857,CPTU,                                 TULLIBY+LAKE+AGCM,   AU7,AB,-110.083,53.667,596,-7,swobml/cptu,smcn38/cwao,H,H,-,-,857,MSC   ,01010000208A0F0000BEB4ECF38DAC2DC1AE8DC1973A402341
3016655,71276,CXTH,                                    TWO+HILLS+AGDM,   AU7,AB,-111.683,53.633,678,-7,swobml/cxth,smcn32/cwao,H,H,@,-,276,MSC   ,01010000208A0F0000E600E19E256430C1590DE16C21ED2341
3016802,71278,CXVM,                                    VERMILION+AGDM,   AU7,AB,-110.883,53.35,623,-7,swobml/cxvm,smcn32/cwao,H,H,@,-,278,MSC   ,01010000208A0F0000B524898A5F7A2FC1E66C728C309B2241
3016841,71888,CPVA,                                       VIKING+AGCM,   AU7,AB,-111.733,53.183,711,-7,swobml/cpva,smcn38/cwao,H,H,-,-,888,MSC   ,01010000208A0F0000702241568EA230C1FE552AB0807F2241
3016852,71761,CPVI,                                        VILNA+AGCM,   AU7,AB,-111.917,54.133,645,-7,swobml/cpvi,smcn37/cwao,H,H,-,-,761,MSC   ,01010000208A0F00002D8116DC656530C1726E7C3FF8A82541
3016860,71062,CXVG,                                   VIOLET+GROVE+CS,   AU8,AB,-115.133,53.15,914,-7,swobml/cxvg,smcn30/cwao,H,H,@,-,62,MSC   ,01010000208A0F0000B3162583B8ED33C1EBB65CE8D8582441
3016GF0,71458,CWVI,                                        VEGREVILLE,   AU8,AB,-112.1,53.5,639,-7,swobml/cwvi,smcn34/cwao,H,H,@,-,458,MSC   ,01010000208A0F000006C52B54A6D930C1CD73A66B06B72341
3017282,71895,CPWT,                                   WETASKIWIN+AGCM,   AU7,AB,-113.45,52.983,774,-7,swobml/cpwt,smcn38/cwao,H,H,-,-,895,MSC   ,01010000208A0F00001921F878536432C133D92AE696CC2241
3017705,713496,CPYT,                                   YOUNGSTOWN+AGCM,   AU8,AB,-111.217,51.483,800,-7,swobml/cpyt,xxxxxx/xxxx,H,-,-,-,3496,MSC   ,01010000208A0F0000A4222EF058DA30C173C6A741C96B1941
301A001,71127,CXPS,                           EDMONTON+STONY+PLAIN+CS,   AU8,AB,-114.117,53.55,766,-7,swobml/cxps,smcn21/cwao,H,H,@,-,127,MSC   ,01010000208A0F0000A7BEDDF98CC132C12CA8785133012541
301B460,71240,CWGY,                                          ESTHER+1,   AU8,AB,-110.2,51.667,707,-7,swobml/cwgy,smcn22/cwao,H,H,@,-,240,MSC   ,01010000208A0F000007B0293FC27C2FC10D04FF6942941941
301S001,71118,CZWN,                        WAINWRIGHT+CFB+AIRFIELD+21,   AU8,AB,-111.1,52.833,686,-7,swobml/czwn,smcn21/cwao,G,H,@,-,118,MSC   ,01010000208A0F0000F8C54E03912A30C114C23CB8B6092141
3020035,71048,CPAC,                                     ACADIA+VALLEY,   AU8,AB,-110.317,51.067,735,-7,swobml/cpac,smcn20/cwao,H,H,-,-,48,MSC   ,01010000208A0F0000263D8240761A30C1F4668CAEB5C51541
3020405,71986,CPAT,                                        ATLEE+AGCM,   AU7,AB,-111,50.817,795,-7,swobml/cpat,smcn39/cwao,H,H,-,-,986,MSC   ,01010000208A0F000041F0FAF053E930C1254239FDBCD81441
3020610,71009,CPBE,                                     BEISEKER+AGCM,   AU7,AB,-113.35,51.383,896,-7,swobml/cpbe,smcn20/cwao,H,H,@,-,9,MSC   ,01010000208A0F0000DDFB74772F0F33C1C70268E16B2E1B41
3020679,71011,CPBV,                                   BIG+VALLEY+AGCM,   AU7,AB,-112.8,52,870,-7,swobml/cpbv,smcn20/cwao,H,H,@,-,11,MSC   ,01010000208A0F0000D101E17E7B3732C12DC78B112C851E41
3021912,71013,CPCM,                                    CRAIGMYLE+AGCM,   AU7,AB,-112.25,51.783,845,-7,swobml/cpcm,smcn20/cwao,H,H,@,-,13,MSC   ,01010000208A0F0000CB0364BD00C431C1E44CADD9897E1C41
30221LG,71237,CWDZ,                                   DRUMHELLER+EAST,   AU8,AB,-112.683,51.45,678,-7,swobml/cwdz,smcn22/cwao,H,H,-,-,237,MSC   ,01010000208A0F00001D6D4304985A32C15EA6E2D468D41A41
3023200,71540,CPHR,                                      HESPERO+AGCM,   AU7,AB,-114.483,52.317,965,-7,swobml/cphr,smcn25/cwao,H,H,-,-,540,MSC   ,01010000208A0F0000A467AC3B13BA33C14E09E9ED8B482141
3023402,71344,CXHR,                                       HUSSAR+AGDM,   AU7,AB,-112.5,51.183,971,-7,swobml/cxhr,smcn23/cwao,H,H,@,-,344,MSC   ,01010000208A0F0000DFB33918784A32C14786A7E5A5E31841
3023722,71242,CWQQ,                                     LACOMBE+CDA+2,   AU8,AB,-113.75,52.45,860,-7,swobml/cwqq,smcn22/cwao,H,H,@,-,242,MSC   ,01010000208A0F0000227C87C920F132C1C3CECE529C432141
3023740,71565,CNLD,                                      LEEDALE+AGDM,   AU7,AB,-114.467,52.55,947,-7,swobml/cnld,smcn35/cwao,H,H,@,-,565,MSC   ,01010000208A0F0000F74D99EDE79733C12441849ADA042241
3023850,71035,CPLA,                                       LINDEN+AGCM,   AU7,AB,-113.65,51.617,914,-7,swobml/cpla,smcn20/cwao,H,H,-,-,35,MSC   ,01010000208A0F0000AB655C328B3F33C1E597340F260D1D41
